a ,b,c
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'residual sugar', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'residual sugar', 'chlorides']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'pH', 'density', 'chlorides']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'alcohol', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'sulphates', 'citric acid', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'density']"
LogisticRegression,0.68,"['pH', 'sulphates', 'alcohol', 'residual sugar']"
LogisticRegression,0.68,"['pH', 'sulphates', 'alcohol', 'citric acid']"
LogisticRegression,0.68,"['pH', 'sulphates', 'alcohol', 'density']"
LogisticRegression,0.68,"['pH', 'sulphates', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['pH', 'sulphates', 'residual sugar', 'density']"
LogisticRegression,0.68,"['pH', 'sulphates', 'residual sugar', 'chlorides']"
LogisticRegression,0.68,"['pH', 'sulphates', 'citric acid', 'density']"
LogisticRegression,0.68,"['pH', 'alcohol', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['pH', 'alcohol', 'residual sugar', 'density']"
LogisticRegression,0.68,"['pH', 'alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['pH', 'alcohol', 'density', 'chlorides']"
LogisticRegression,0.68,"['pH', 'residual sugar', 'citric acid', 'density']"
LogisticRegression,0.68,"['pH', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.68,"['sulphates', 'alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['sulphates', 'residual sugar', 'citric acid', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'chlorides']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'pH', 'alcohol', 'density', 'chlorides']"
